short_name,long_name,Sub-Borough Area,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Stuyvesant Town/Turtle Bay,0.0879295154185022,0.08956862745098039,0.0825732504641214,0.10476412528172845,0.12120224810621488,0.11816297241269336,0.11784511784511784,0.13685672133992885,0.1068028388436905,0.13936627282491945,0.15501379944802207,0.17871024734982333,0.16462780842728073,0.17047653170906485
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Upper West Side,0.1643938760143897,0.17426428159261395,0.15104824450618842,0.14988928632260262,0.16705597370014708,0.2093657086223984,0.23109855295830123,0.2687553447873746,0.2987829451116305,0.2766267400453221,0.2607107273331119,0.22799693277668912,0.218955154877485,0.1957369163141743
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Upper East Side,0.11122313945428192,0.1016877890563998,0.09790780348505156,0.1238912567676535,0.1424444313424916,0.09454288573615116,0.1124148832684825,0.12280254777070064,0.0765690116315233,0.08802345592453312,0.13086484024207715,0.14199869366427173,0.17263183743630672,0.209555791210086
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),South Shore,,,,,,,,,,,,,,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Morningside Heights/Hamilton Heights,0.35820327369623145,0.3807115157646266,0.4088321545627048,0.3790882901203186,0.4306569343065693,0.4031213191990577,0.3852446599000152,0.39047759433962265,0.3927284124745338,0.3841081994928149,0.37801701684320194,0.394137993810304,0.39981718464351007,0.4397749252681554
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Central Harlem,0.6205179282868526,0.5920899573478092,0.5262828535669587,0.5575638506876228,0.542573420663427,0.4669429271049162,0.41387900355871887,0.447052300868601,0.40564777714176686,0.438161184843239,0.4098097639239056,0.4510739856801909,0.42301491334139457,0.4588156349605771
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),East Harlem,0.5302204928664073,0.5109841827768014,0.482765491133692,0.45568114217727546,0.4658507698381366,0.44641495041952706,0.47991663508904886,0.4869497467861317,0.4813239644970414,0.4751456310679611,0.5346704871060172,0.5190076744601106,0.5457707799340901,0.5743507648523657
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Washington Heights/Inwood,0.5867924528301887,0.5956527997696848,0.5469084677995145,0.5494389438943894,0.5362535709427289,0.45650089053294973,0.45863778705636743,0.4465844533739781,0.3955342902711323,0.44395516413130504,0.4779305828421742,0.4875672904383491,0.4991438356164384,0.5817886932344764
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),North Shore,0.6648328396106644,0.6423029808084932,0.6001306051371353,0.636216090888013,0.6862099253403601,0.5752611585944919,0.713877648179005,0.770694087403599,0.7661227661227661,0.8262626262626263,0.8552803129074316,0.7713754646840149,0.7266553480475382,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Mid-Island,,,,,,,,,,,,,,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Bayside/Little Neck,,,,,,,,,,,,,,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Sunnyside/Woodside,0.4041109969167523,0.43018366895330823,0.4049145299145299,0.3935116915946914,0.3181265206812652,0.22896698615548455,0.2163742690058479,0.25833924769339955,0.2287569907992062,0.2878438331854481,0.28753644314868804,0.29526515151515154,0.3325226977950713,0.36222415795586527
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Jackson Heights,0.4633879781420765,0.48085320792744374,0.5028634768150748,0.5369224422442245,0.5397553516819572,0.5047483380816714,0.5092221331194867,0.5500951173113506,0.5463948889564952,0.57475294867708,0.5590994371482176,,0.5514828390536488,0.6647727272727273
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Elmhurst/Corona,0.5329716193656093,0.5657589191471395,0.5604149715215623,0.5344866833598907,0.5503472222222222,0.4698099591051239,0.4777750789409764,0.5221215351812367,0.5097073312083454,0.5554422635737956,0.6112316220776091,0.6575181796856674,0.6301091647626301,0.687216248506571
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Middle Village/Ridgewood,0.6872845264652201,0.7265575164788433,0.7201312910284464,0.6941781622632687,0.6960292104062072,0.6350154935812307,0.6318192193563114,0.6168244879982383,0.6017046763418568,0.5909784266724777,0.5896464646464646,0.6043133802816901,0.619879392805157,0.653222617635429
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Rego Park/Forest Hills,0.24379285883187515,0.26015869199326763,0.26903553299492383,0.22779544898458529,0.26303317535545023,0.17314124003087214,0.2606457650912494,0.26899584656731,0.22557506801879793,0.24207636635887195,0.3132806525618149,0.2787179487179487,0.2622478386167147,0.4072517078297425
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Flushing/Whitestone,0.4271044453452236,0.4358016741790084,0.4492659477718592,0.44909136171272096,0.4642287397226654,0.42628374801482266,0.5057816488962307,0.5705003248862898,0.5575711285086882,0.618909090909091,0.6366272046388016,0.6177394034536892,0.5062944718117132,0.5888943010228933
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Hillcrest/Fresh Meadows,0.4442890442890443,0.45934111759799834,0.4655887230514096,0.4606877136537301,0.5350331674958541,0.4774523477452347,0.5243257535695399,0.5351961311123052,0.5259419394688079,0.626210979547901,0.653474676089517,0.7130108031939878,0.7361072326165875,0.8504494688095887
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Ozone Park/Woodhaven,0.640834248079034,0.6465056636033341,0.6265926839293053,0.5838049629952111,0.6448514630332812,0.5750166703711936,0.586365730078305,0.616045142296369,0.6084117032392894,0.6837259680476577,0.657249927933122,0.614247311827957,0.5781471004243282,0.6566747995817358
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),South Ozone Park/Howard Beach,,,,,,,,,,,,,,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Jamaica,0.6435367834764446,0.6669811320754717,0.6764485981308411,0.6997172478793591,0.7056320907617504,0.6455194290245837,0.7027899469679502,0.7495073891625615,0.7965194109772423,0.8185034013605442,0.7976811594202898,0.795369211514393,0.7564060979565358,0.7887503994886546
